,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,stelle,valutazione_booking,descrizione_camera,configurazione_camera,descrizione_unprocessed
33,as maison,"9,5",Eccezionale ,109 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 89,"2,3 km dal centro",Terni,,3.0,Appartamento con 1 Camera da Letto,Intero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 48m²,"Appartamento con 1 Camera da LettoIntero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 48m²2 letti (1 divano letto, 1 matrimoniale)Cancellazione gratuita"
34,M&M’s Home,"9,2",Eccellente ,168 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 85,1 km dal centro,Terni,,3.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
35,Appartamenti Natura e Terra Marmore,"8,9",Favoloso ,134 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 113,"5,5 km dal centro",Terni,,3.0,Appartamento con Vista Giardino,Intero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 45m²,"Appartamento con Vista GiardinoIntero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 45m²2 letti (1 divano letto, 1 matrimoniale)Ne restano solo 2 a questo prezzo sul nostro sito"
36,San Francesco Home,"8,8",Favoloso ,17 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 84,400 m dal centro,Terni,,3.0,Appartamento con 1 Camera da Letto,Intero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 45m²,"Appartamento con 1 Camera da LettoIntero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 45m²2 letti (1 divano letto, 1 matrimoniale)Ne resta solo 1 a questo prezzo sul nostro sito"
37,Tre Monumenti Luxury Suites,10,Eccezionale ,3 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 113,1 km dal centro,Terni,,3.0,Appartamento con Vista e Balcone,Intero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 50m²,"Appartamento con Vista e BalconeIntero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 50m²2 letti (1 divano letto, 1 matrimoniale)Ne restano solo 4 a questo prezzo sul nostro sito"
38,IL TEATRO ALLOGGI,"8,6",Favoloso ,112 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 93,"0,8 km dal centro",Terni,,3.0,Appartamento - Piano Terra,Intero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 40m²,"Appartamento - Piano TerraIntero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 40m²2 letti (1 matrimoniale alla francese, 1 divano letto)Cancellazione gratuitaNe restano solo 2 a questo prezzo sul nostro sito"
39,Welcome home,"9,6",Eccezionale ,56 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 87,"0,6 km dal centro",Terni,,4.0,Appartamento con 2 Camere da Letto,Intero appartamento • 2 camere da letto • 1 zona giorno • 1 bagno • 1 cucina • 105m²,"Appartamento con 2 Camere da LettoIntero appartamento • 2 camere da letto • 1 zona giorno • 1 bagno • 1 cucina • 105m²5 letti (3 singoli, 1 divano letto, 1 matrimoniale)Ne resta solo 1 a questo prezzo sul nostro sito"
40,Palmira House - delizioso bilocale for two,"9,7",Eccezionale ,113 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 94,400 m dal centro,Terni,,4.0,Appartamento con 1 Camera da Letto,Intero appartamento • 1 camera da letto • 1 bagno • 1 cucina • 60m²,Appartamento con 1 Camera da LettoIntero appartamento • 1 camera da letto • 1 bagno • 1 cucina • 60m²1 letto matrimoniale alla franceseCancellazione gratuita
41,WHITE 2,"8,8",Favoloso ,19 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 73,"0,8 km dal centro",Terni,,3.0,Appartamento con 1 Camera da Letto,Configurazione camera non disponibile,"Appartamento con 1 Camera da Letto2 letti (1 matrimoniale alla francese, 1 divano letto)"
42,La Casa nella Contea,"9,9",Eccezionale ,21 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 99,"5,4 km dal centro",Terni,,3.0,Appartamento con 1 Camera da Letto,Intero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 75m²,"Appartamento con 1 Camera da LettoIntero appartamento • 1 camera da letto • 1 zona giorno • 1 bagno • 1 cucina • 75m²2 letti (1 matrimoniale grande, 1 divano letto)Ne resta solo 1 a questo prezzo sul nostro sito"
